date,price,quantity
Feb 03 2024 03: +0,0.32,2400
Feb 03 2024 04: +0,0.322,2560
Feb 03 2024 05: +0,0.324,3093
Feb 03 2024 06: +0,0.332,3159
Feb 03 2024 07: +0,0.34,3111
Feb 03 2024 08: +0,0.336,2531
Feb 03 2024 09: +0,0.324,2795
Feb 03 2024 10: +0,0.32,3220
Feb 03 2024 11: +0,0.313,2573
Feb 03 2024 12: +0,0.313,2902
Feb 03 2024 13: +0,0.313,2662
Feb 03 2024 14: +0,0.311,2874
Feb 03 2024 15: +0,0.31,3233
Feb 03 2024 16: +0,0.31,3096
Feb 03 2024 17: +0,0.32,3862
Feb 03 2024 18: +0,0.331,4279
Feb 03 2024 19: +0,0.324,3680
Feb 03 2024 20: +0,0.32,3742
Feb 03 2024 21: +0,0.335,4254
Feb 03 2024 22: +0,0.338,3846
Feb 03 2024 23: +0,0.338,3004
Feb 04 2024 00: +0,0.342,2735
Feb 04 2024 01: +0,0.346,2512
