date,price,quantity
Jan 22 2024 19: +0,0.198,2765
Jan 22 2024 20: +0,0.199,2972
Jan 22 2024 21: +0,0.201,3902
Jan 22 2024 22: +0,0.2,2481
Jan 22 2024 23: +0,0.207,2125
Jan 23 2024 00: +0,0.204,1690
Jan 23 2024 01: +0,0.207,1330
Jan 23 2024 02: +0,0.2,1349
Jan 23 2024 03: +0,0.2,1448
Jan 23 2024 04: +0,0.2,1242
Jan 23 2024 05: +0,0.201,1062
Jan 23 2024 06: +0,0.201,1370
Jan 23 2024 07: +0,0.2,1362
Jan 23 2024 08: +0,0.198,1608
Jan 23 2024 09: +0,0.197,2121
Jan 23 2024 10: +0,0.2,1850
Jan 23 2024 11: +0,0.2,2872
Jan 23 2024 12: +0,0.197,2418
Jan 23 2024 13: +0,0.2,2651
Jan 23 2024 14: +0,0.2,2715
Jan 23 2024 15: +0,0.198,3634
Jan 23 2024 16: +0,0.196,3055
Jan 23 2024 17: +0,0.196,3733
Jan 23 2024 18: +0,0.199,3709
Jan 23 2024 19: +0,0.196,3177
Jan 23 2024 20: +0,0.196,2824
Jan 23 2024 21: +0,0.192,2929
Jan 23 2024 22: +0,0.195,2561
Jan 23 2024 23: +0,0.195,2118
Jan 24 2024 00: +0,0.2,1553
Jan 24 2024 01: +0,0.195,1186
Jan 24 2024 02: +0,0.199,1192
Jan 24 2024 03: +0,0.19,1730
Jan 24 2024 04: +0,0.19,1974
Jan 24 2024 05: +0,0.19,1846
Jan 24 2024 06: +0,0.192,1942
Jan 24 2024 07: +0,0.192,2595
Jan 24 2024 08: +0,0.19,2592
Jan 24 2024 09: +0,0.19,2543
Jan 24 2024 10: +0,0.19,2763
Jan 24 2024 11: +0,0.19,3492
Jan 24 2024 12: +0,0.19,3623
Jan 24 2024 13: +0,0.19,4473
Jan 24 2024 14: +0,0.185,4775
Jan 24 2024 15: +0,0.184,4078
Jan 24 2024 16: +0,0.18,4227
Jan 24 2024 17: +0,0.18,5503
Jan 24 2024 18: +0,0.177,5444
Jan 24 2024 19: +0,0.18,5469
Jan 24 2024 20: +0,0.18,5022
Jan 24 2024 21: +0,0.179,4486
Jan 24 2024 22: +0,0.18,4906
Jan 24 2024 23: +0,0.18,2948
Jan 25 2024 00: +0,0.186,3114
Jan 25 2024 01: +0,0.185,2058
Jan 25 2024 02: +0,0.18,1695
Jan 25 2024 03: +0,0.18,1645
Jan 25 2024 04: +0,0.186,2472
Jan 25 2024 05: +0,0.185,2025
Jan 25 2024 06: +0,0.186,1889
Jan 25 2024 07: +0,0.187,2438
Jan 25 2024 08: +0,0.19,1741
Jan 25 2024 09: +0,0.185,2086
Jan 25 2024 10: +0,0.186,2934
Jan 25 2024 11: +0,0.189,3625
Jan 25 2024 12: +0,0.186,2352
Jan 25 2024 13: +0,0.18,2886
Jan 25 2024 14: +0,0.183,3415
Jan 25 2024 15: +0,0.18,3425
Jan 25 2024 16: +0,0.179,3540
Jan 25 2024 17: +0,0.183,4367
